task id = 2
-2850
[ITP]: 10000.456880009739
[ITP]: 0.024709310061816425
[ITP]: 0.0073774390783138966
[ITP]: 0.0036831396224421553
[ITP]: 0.0021871217534298326
[ITP]: 0.0014236976453675387
[ITP]: 0.0009813836471159743
[ITP]: 0.0007034772382468191
[ITP]: 0.0005187633995176189
[ITP]: 0.00039082582016103373
[ITP]: 0.0002993900949075923
[ITP]: 0.00023241771033605252
[ITP]: 0.00018239013115672886
[ITP]: 0.00014441701662459838
[ITP]: 0.00011520971388589984
[ITP]: 9.249443351216913e-5
[ITP]: 7.46618494658624e-5
[ITP]: 6.055000318894166e-5
[ITP]: 4.930546685089077e-5
[ITP]: 4.029207922751077e-5
[ITP]: 3.302949220307383e-5
[ITP]: 2.7150903431860662e-5
[ITP]: 2.237343339273057e-5
[ITP]: 1.8477013212114812e-5
[ITP]: 1.5289111038874204e-5
[ITP]: 1.2673532332363457e-5
[ITP]: 1.0522107476429454e-5
[ITP]: 8.748454195295352e-6
[ITP]: 7.28325058108048e-6
[ITP]: 6.070620360842938e-6
[ITP]: 5.065346197041798e-6
[ITP]: 4.230705299534954e-6
[ITP]: 3.5367770332417336e-6
[ITP]: 2.9591114165672394e-6
[ITP]: 2.477675617673647e-6
[ITP]: 2.0760161717481296e-6
[ITP]: 1.7405896345357164e-6
[ITP]: 1.4602254015949612e-6
[ITP]: 1.2256930599363614e-6
[ITP]: 1.0293524912441399e-6
[ITP]: 8.648701671498671e-7
[ITP]: 7.269882001947892e-7
[ITP]: 6.11335995492901e-7
[ITP]: 5.142761624332692e-7
[ITP]: 4.327781399915409e-7
[ITP]: 3.6431439398576515e-7
[ITP]: 3.0677494089470514e-7
[ITP]: 2.5839681527806135e-7
[ITP]: 2.1770581581925796e-7
[ITP]: 1.8346827934667687e-7
[ITP]: 1.5465114422408277e-7
[ITP]: 1.3038871937709473e-7
[ITP]: 1.0995518018308559e-7
[ITP]: 9.274161327788022e-8
[ITP]: 7.823692893538237e-8
[ITP]: 6.601190927213452e-8
[ITP]: 5.570598116122483e-8
[ITP]: 4.701604894297162e-8
[ITP]: 3.968730111214569e-8
[ITP]: 3.350536437185525e-8
[ITP]: 2.8289883435839158e-8
[ITP]: 2.3889059841408766e-8
[ITP]: 2.0175066506311623e-8
[ITP]: 1.704025520687935e-8
[ITP]: 1.439395658220377e-8
[ITP]: 1.2159741213935149e-8
[ITP]: 1.0273225714563239e-8
[ITP]: 8.680112406622698e-9
Energy of ground state: -0.5003391396259835
step 0 energy = -0.5003391396259829, bundle_size = 3, norm = 0.9999999999999999 + 0.0im
step 200 energy = -0.5003391396246646, bundle_size = 3, norm = 1.0000000000000198 + 0.0im
step 400 energy = -0.5003391395663204, bundle_size = 3, norm = 1.000000000000015 + 0.0im
step 600 energy = -0.5003391392059838, bundle_size = 3, norm = 1.0000000000000002 + 0.0im
step 800 energy = -0.5003391382869562, bundle_size = 3, norm = 0.9999999999999863 + 0.0im
step 1000 energy = -0.5003391367202722, bundle_size = 3, norm = 0.9999999999999719 + 0.0im
step 1200 energy = -0.5003391340363261, bundle_size = 3, norm = 0.9999999999999575 + 0.0im
step 1400 energy = -0.500339129169031, bundle_size = 4, norm = 0.9999999999999419 + 0.0im
step 1600 energy = -0.5003391216864824, bundle_size = 4, norm = 0.9999999999999258 + 0.0im
step 1800 energy = -0.5003391120745764, bundle_size = 4, norm = 0.9999999999999121 + 0.0im
step 2000 energy = -0.5003390995378758, bundle_size = 4, norm = 0.999999999999897 + 0.0im
step 2200 energy = -0.5003390820607717, bundle_size = 4, norm = 0.9999999999998821 + 0.0im
step 2400 energy = -0.5003390596576972, bundle_size = 4, norm = 0.9999999999998666 + 0.0im
step 2600 energy = -0.500339033082646, bundle_size = 4, norm = 0.9999999999998521 + 0.0im
step 2800 energy = -0.5003390006883378, bundle_size = 4, norm = 0.999999999999836 + 0.0im
step 3000 energy = -0.5003389621016934, bundle_size = 4, norm = 0.9999999999998213 + 0.0im
step 3200 energy = -0.5003389181708362, bundle_size = 4, norm = 0.999999999999805 + 0.0im
step 3400 energy = -0.5003388652220644, bundle_size = 4, norm = 0.9999999999997897 + 0.0im
step 3600 energy = -0.5003388029848611, bundle_size = 4, norm = 0.9999999999997758 + 0.0im
step 3800 energy = -0.500338739065083, bundle_size = 4, norm = 0.9999999999997597 + 0.0im
step 4000 energy = -0.5003386699289563, bundle_size = 4, norm = 0.999999999999747 + 0.0im
step 4200 energy = -0.500338582970475, bundle_size = 5, norm = 0.9999999999997307 + 0.0im
step 4400 energy = -0.5003384858525369, bundle_size = 5, norm = 0.9999999999997156 + 0.0im
step 4600 energy = -0.5003383962790854, bundle_size = 5, norm = 0.9999999999996984 + 0.0im
step 4800 energy = -0.5003383033775198, bundle_size = 5, norm = 0.9999999999996835 + 0.0im
step 5000 energy = -0.5003381811498543, bundle_size = 5, norm = 0.9999999999996699 + 0.0im
step 5200 energy = -0.5003380456353135, bundle_size = 6, norm = 0.9999999999996535 + 0.0im
step 5400 energy = -0.5003379390639261, bundle_size = 6, norm = 0.9999999999996385 + 0.0im
step 5600 energy = -0.5003378328753265, bundle_size = 6, norm = 0.999999999999626 + 0.0im
step 5800 energy = -0.5003376690043393, bundle_size = 6, norm = 0.9999999999996124 + 0.0im
step 6000 energy = -0.5003375053257364, bundle_size = 7, norm = 0.9999999999995971 + 0.0im
step 6200 energy = -0.5003374050317332, bundle_size = 7, norm = 0.9999999999995803 + 0.0im
step 6400 energy = -0.5003372793408273, bundle_size = 7, norm = 0.9999999999995647 + 0.0im
