Number of Threads: 1
[ITP_1d]: energy_diff = -1.3490673478333548e-6
[ITP_1d]: energy_diff = -1.2455887477003103e-6
[ITP_1d]: energy_diff = -1.1500736847303017e-6
[ITP_1d]: energy_diff = -1.0619065283767881e-6
[ITP_1d]: energy_diff = -9.805195240186748e-7
[ITP_1d]: energy_diff = -9.053890563937017e-7
[ITP_1d]: energy_diff = -8.360321828160266e-7
[ITP_1d]: energy_diff = -7.720034412850296e-7
[ITP_1d]: energy_diff = -7.128919314869364e-7
[ITP_1d]: energy_diff = -6.583186112907313e-7
[ITP_1d]: energy_diff = -6.079337988573741e-7
[ITP_1d]: energy_diff = -5.614148929078411e-7
[ITP_1d]: energy_diff = -5.184642632993786e-7
[ITP_1d]: energy_diff = -4.788072923700426e-7
[ITP_1d]: energy_diff = -4.421905980267482e-7
[ITP_1d]: energy_diff = -4.0838037407286976e-7
[ITP_1d]: energy_diff = -3.77160872755411e-7
[ITP_1d]: energy_diff = -3.4833299678016516e-7
[ITP_1d]: energy_diff = -3.2171301067585034e-7
[ITP_1d]: energy_diff = -2.971313532995623e-7
[ITP_1d]: energy_diff = -2.74431527280683e-7
[ITP_1d]: energy_diff = -2.534691041500281e-7
[ITP_1d]: energy_diff = -2.3411076377488627e-7
[ITP_1d]: energy_diff = -2.1623346946331168e-7
[ITP_1d]: energy_diff = -1.9972363518583336e-7
[ITP_1d]: energy_diff = -1.8447643057584173e-7
[ITP_1d]: energy_diff = -1.703950720521874e-7
[ITP_1d]: energy_diff = -1.5739022751759535e-7
[ITP_1d]: energy_diff = -1.4537942505388202e-7
[ITP_1d]: energy_diff = -1.3428652700930854e-7
[ITP_1d]: energy_diff = -1.2404125060427873e-7
[ITP_1d]: energy_diff = -1.1457870052744568e-7
[ITP_1d]: energy_diff = -1.0583896958848982e-7
[ITP_1d]: energy_diff = -9.776674170236532e-8
[ITP_1d]: energy_diff = -9.031094871936318e-8
[ITP_1d]: energy_diff = -8.342443569286928e-8
[ITP_1d]: energy_diff = -7.706366711435209e-8
[ITP_1d]: energy_diff = -7.118843481368486e-8
[ITP_1d]: energy_diff = -6.576162825400189e-8
[ITP_1d]: energy_diff = -6.074896108376748e-8
[ITP_1d]: energy_diff = -5.611878817202154e-8
[ITP_1d]: energy_diff = -5.1841880344127844e-8
[ITP_1d]: energy_diff = -4.789124796733546e-8
[ITP_1d]: energy_diff = -4.4241963981228594e-8
[ITP_1d]: energy_diff = -4.087101668215354e-8
[ITP_1d]: energy_diff = -3.775714607634484e-8
[ITP_1d]: energy_diff = -3.488072752855231e-8
[ITP_1d]: energy_diff = -3.2223626655891735e-8
[ITP_1d]: energy_diff = -2.976910640217767e-8
[ITP_1d]: energy_diff = -2.7501702137833206e-8
[ITP_1d]: energy_diff = -2.5407134618404825e-8
[ITP_1d]: energy_diff = -2.3472213173114653e-8
[ITP_1d]: energy_diff = -2.168476131991781e-8
[ITP_1d]: energy_diff = -2.0033524283924464e-8
[ITP_1d]: energy_diff = -1.8508114152382404e-8
[ITP_1d]: energy_diff = -1.7098933935422167e-8
[ITP_1d]: energy_diff = -1.579711628174607e-8
[ITP_1d]: energy_diff = -1.4594475961082765e-8
[ITP_1d]: energy_diff = -1.348345324281297e-8
[ITP_1d]: energy_diff = -1.2457058606862859e-8
[ITP_1d]: energy_diff = -1.1508842767682381e-8
[ITP_1d]: energy_diff = -1.0632844271718511e-8
[ITP_1d]: energy_diff = -9.823563407174163e-9
[ITP_1d]: energy_diff = -9.075908691258405e-9
[ITP_1d]: energy_diff = -8.38518776635766e-9
[ITP_1d]: energy_diff = -7.747063435203927e-9
[ITP_1d]: energy_diff = -7.1575224636077905e-9
[ITP_1d]: energy_diff = -6.612868475031064e-9
[ITP_1d]: energy_diff = -6.109681316424087e-9
[ITP_1d]: energy_diff = -5.644796852166678e-9
[ITP_1d]: energy_diff = -5.215305076688992e-9
[ITP_1d]: energy_diff = -4.818504484305208e-9
[ITP_1d]: energy_diff = -4.451906843172537e-9
[ITP_1d]: energy_diff = -4.113210660960931e-9
[ITP_1d]: energy_diff = -3.800294634537238e-9
[ITP_1d]: energy_diff = -3.511193003014057e-9
[ITP_1d]: energy_diff = -3.244091995036058e-9
[ITP_1d]: energy_diff = -2.9973179493936186e-9
[ITP_1d]: energy_diff = -2.7693211057666645e-9
[ITP_1d]: energy_diff = -2.5586747165462498e-9
[ITP_1d]: energy_diff = -2.364056284065441e-9
[ITP_1d]: energy_diff = -2.184245784242478e-9
[ITP_1d]: energy_diff = -2.018116007640458e-9
[ITP_1d]: energy_diff = -1.8646267863076105e-9
[ITP_1d]: energy_diff = -1.722812892346326e-9
[ITP_1d]: energy_diff = -1.5917895890282807e-9
[ITP_1d]: energy_diff = -1.4707322026907832e-9
[ITP_1d]: energy_diff = -1.3588853375878784e-9
[ITP_1d]: energy_diff = -1.255546999701096e-9
[ITP_1d]: energy_diff = -1.1600673754941226e-9
[ITP_1d]: energy_diff = -1.0718522736041791e-9
[ITP_1d]: energy_diff = -9.90345694340533e-10
[ITP_1d]: energy_diff = -9.15040043736326e-10
[ITP_1d]: energy_diff = -8.454604794039255e-10
[ITP_1d]: energy_diff = -7.811741253860305e-10
[ITP_1d]: energy_diff = -7.2177608334556e-10
[ITP_1d]: energy_diff = -6.668960939038016e-10
[ITP_1d]: energy_diff = -6.161906540569362e-10
[ITP_1d]: energy_diff = -5.693399085515694e-10
[ITP_1d]: energy_diff = -5.260515356653173e-10
[ITP_1d]: energy_diff = -4.860570834708255e-10
[ITP_1d]: energy_diff = -4.491029770292698e-10
